id,category,module,cat_hit,mod_hit,both_hit,mrr_cat,first_cat_rank,retrieved_ids,retrieved_cats,latency_ms
24,ranking,EWB,1,1,1,1.0,1,1018|1084|1067|1083|1128,ranking|grouping|aggregation|grouping|subquery,287.76
25,ranking,EWB,1,1,1,1.0,1,1017|1020|1060|1022|1129,ranking|ranking|aggregation|ranking|subquery,228.14
26,ranking,EWB,1,1,1,1.0,1,1016|1019|1034|1021|1030,ranking|ranking|ranking|ranking|ranking,214.29
27,quirk,EWB,1,1,1,1.0,1,1121|1112|1101|1120|1038,quirk|filtering|join|quirk|domain_specific,230.95
28,grouping,EWB,1,1,1,1.0,1,1082|1090|1036|1085|1037,grouping|grouping|domain_specific|grouping|domain_specific,221.15
29,aggregation,EWB,0,1,0,0.0,0,1099|1100|1098|1040|1086,join|join|join|domain_specific|grouping,202.86
30,aggregation,EWB,1,1,1,0.25,4,1099|1100|1086|1063|1040,join|join|grouping|aggregation|domain_specific,221.35
31,aggregation,EWB,1,1,0,0.3333,3,1100|1115|1073|1126|1078,join|filtering|aggregation|quirk|aggregation,212.81
32,grouping,EWB,1,1,1,1.0,1,1084|1018|1083|1101|1067,grouping|ranking|grouping|join|aggregation,246.57
33,ranking,EWB,1,1,1,0.5,2,1083|1018|1102|1084|1130,grouping|ranking|join|grouping|subquery,213.25
34,grouping,EWB,0,1,0,0.0,0,1061|1038|1128|1101|1113,aggregation|domain_specific|subquery|join|filtering,204.99
35,join,EWB,1,1,1,1.0,1,1101|1098|1038|1102|1042,join|join|domain_specific|join|domain_specific,209.67
36,join,EWB,1,1,1,1.0,1,1100|1136|1128|1063|1086,join|having|subquery|aggregation|grouping,212.34
37,grouping,EWB,0,1,0,0.0,0,1038|1101|1061|1128|1113,domain_specific|join|aggregation|subquery|filtering,231.47
38,ranking,EWB,1,1,1,1.0,1,1020|1136|1017|1063|1086,ranking|having|ranking|aggregation|grouping,212.09
39,join,EWB,0,1,0,0.0,0,1066|1042|1039|1043|1129,aggregation|domain_specific|domain_specific|domain_specific|subquery,219.85
40,filtering,EWB,0,1,0,0.0,0,1042|1043|1066|1101|1037,domain_specific|domain_specific|aggregation|join|domain_specific,230.01
41,subquery,EWB,1,1,1,1.0,1,1129|1064|1037|1036|1039,subquery|aggregation|domain_specific|domain_specific|domain_specific,259.23
42,grouping,EWB,1,1,1,1.0,1,1082|1090|1036|1046|1037,grouping|grouping|domain_specific|domain_specific|domain_specific,202.85
43,aggregation,GSTR-3B,0,1,0,0.0,0,1091|1115|1014|1006|1114,grouping|filtering|decode|decode|filtering,203.13
44,aggregation,GSTR-3B,0,1,0,0.0,0,1027|1091|1115|1006|1014,ranking|grouping|filtering|decode|decode,217.92
45,domain_specific,GSTR-3B,1,1,1,0.3333,3,1011|1004|1049|1009|1015,decode|decode|domain_specific|decode|decode,212.35
46,domain_specific,GSTR-3B,1,1,1,0.2,5,1072|1132|1114|1092|1051,aggregation|subquery|filtering|grouping|domain_specific,232.0
47,domain_specific,GSTR-3B,1,1,1,1.0,1,1051|1068|1055|1047|1069,domain_specific|aggregation|domain_specific|domain_specific|aggregation,214.55
48,domain_specific,GSTR-3B,1,1,1,1.0,1,1048|1044|1051|1047|1054,domain_specific|domain_specific|domain_specific|domain_specific|domain_specific,209.43
49,filtering,GSTR-3B,1,1,1,0.5,2,1091|1115|1014|1006|1124,grouping|filtering|decode|decode|quirk,219.83
50,filtering,GSTR-3B,1,1,1,0.5,2,1091|1115|1014|1006|1114,grouping|filtering|decode|decode|filtering,240.08
51,domain_specific,GSTR-3B,1,1,1,1.0,1,1046|1045|1050|1051|1087,domain_specific|domain_specific|domain_specific|domain_specific|grouping,210.78
52,domain_specific,GSTR-3B,1,1,1,0.5,2,1008|1050|1069|1072|1053,decode|domain_specific|aggregation|aggregation|domain_specific,223.28
53,filtering,GSTR-3B,1,1,0,0.25,4,1014|1006|1091|1119|1126,decode|decode|grouping|filtering|quirk,217.77
54,domain_specific,GSTR-3B,1,1,1,0.2,5,1070|1074|1072|1069|1048,aggregation|aggregation|aggregation|aggregation|domain_specific,214.66
55,aggregation,GSTR-3B,1,1,1,1.0,1,1073|1071|1126|1115|1091,aggregation|aggregation|quirk|filtering|grouping,228.44
56,quirk,GSTR-3B,1,1,1,1.0,1,1126|1073|1071|1026|1091,quirk|aggregation|aggregation|ranking|grouping,261.46
57,aggregation,GSTR-3B,1,1,1,1.0,1,1070|1074|1068|1072|1009,aggregation|aggregation|aggregation|aggregation|decode,218.49
58,domain_specific,GSTR-3B,1,1,1,1.0,1,1047|1048|1051|1068|1059,domain_specific|domain_specific|domain_specific|aggregation|domain_specific,221.54
59,ranking,GSTR-3B,1,1,1,1.0,1,1025|1023|1004|1024|1092,ranking|ranking|decode|ranking|grouping,246.65
60,grouping,GSTR-3B,1,1,1,1.0,1,1088|1089|1009|1004|1029,grouping|grouping|decode|decode|ranking,210.58
61,grouping,GSTR-3B,1,1,1,1.0,1,1092|1024|1137|1072|1090,grouping|ranking|having|aggregation|grouping,203.75
62,grouping,GSTR-3B,1,1,1,1.0,1,1091|1006|1014|1115|1114,grouping|decode|decode|filtering|filtering,209.2
63,aggregation,GSTR-3B,1,1,1,1.0,1,1072|1092|1132|1011|1049,aggregation|grouping|subquery|decode|domain_specific,243.61
64,ranking,GSTR-3B,1,1,1,1.0,1,1026|1115|1074|1091|1070,ranking|filtering|aggregation|grouping|aggregation,215.84
65,domain_specific,GSTR-3B,1,1,1,1.0,1,1045|1046|1050|1051|1087,domain_specific|domain_specific|domain_specific|domain_specific|grouping,228.58
66,filtering,GSTR-3B,1,1,1,0.3333,3,1050|1091|1114|1115|1069,domain_specific|grouping|filtering|filtering|aggregation,218.55
67,grouping,GSTR-3B,1,1,1,1.0,1,1092|1088|1072|1024|1085,grouping|grouping|aggregation|ranking|grouping,211.77
68,domain_specific,GSTR-3B,1,1,1,1.0,1,1051|1097|1055|1047|1054,domain_specific|grouping|domain_specific|domain_specific|domain_specific,264.65
69,grouping,GSTR-3B,1,1,1,1.0,1,1089|1133|1090|1009|1004,grouping|subquery|grouping|decode|decode,198.67
70,grouping,GSTR-3B,1,1,1,1.0,1,1091|1115|1014|1006|1126,grouping|filtering|decode|decode|quirk,204.26
71,decode,GSTR-3B,1,1,1,1.0,1,1009|1001|1010|1008|1003,decode|decode|decode|decode|decode,222.72
72,ranking,GSTR-3B,1,1,1,1.0,1,1025|1092|1023|1024|1016,ranking|grouping|ranking|ranking|ranking,224.85
73,decode,GSTR-3B,1,1,1,1.0,1,1004|1012|1092|1049|1011,decode|decode|grouping|domain_specific|decode,220.66
74,decode,GSTR-3B,1,1,1,1.0,1,1011|1015|1092|1049|1005,decode|decode|grouping|domain_specific|decode,217.74
75,ranking,GSTR-3B,1,1,1,1.0,1,1029|1089|1133|1024|1070,ranking|grouping|subquery|ranking|aggregation,199.3
76,grouping,GSTR-3B,1,1,1,1.0,1,1090|1097|1010|1049|1054,grouping|grouping|decode|domain_specific|domain_specific,237.06
77,subquery,GSTR-3B,1,1,1,0.5,2,1012|1131|1132|1092|1024,decode|subquery|subquery|grouping|ranking,242.33
78,decode,GSTR-3B,1,1,1,1.0,1,1012|1138|1008|1010|1001,decode|having|decode|decode|decode,204.73
79,ranking,GSTR-3B,1,1,1,1.0,1,1023|1049|1025|1015|1010,ranking|domain_specific|ranking|decode|decode,233.29
80,grouping,GSTR-3B,1,1,1,1.0,1,1087|1090|1064|1028|1036,grouping|grouping|aggregation|ranking|domain_specific,220.13
81,aggregation,GSTR-7,1,1,1,0.3333,3,1091|1119|1078|1117|1139,grouping|filtering|aggregation|filtering|having,217.8
82,aggregation,GSTR-7,1,1,1,1.0,1,1081|1077|1105|1094|1096,aggregation|aggregation|join|grouping|grouping,215.03
83,domain_specific,GSTR-7,1,1,1,1.0,1,1052|1055|1103|1104|1054,domain_specific|domain_specific|join|join|domain_specific,211.11
84,aggregation,GSTR-7,1,1,0,0.3333,3,1139|1117|1073|1071|1030,having|filtering|aggregation|aggregation|ranking,210.69
85,aggregation,GSTR-7,1,1,1,1.0,1,1081|1105|1094|1096|1117,aggregation|join|grouping|grouping|filtering,284.2
86,aggregation,GSTR-7,1,1,1,0.2,5,1094|1096|1118|1105|1077,grouping|grouping|filtering|join|aggregation,243.27
87,aggregation,GSTR-7,1,1,1,0.5,2,1096|1077|1076|1079|1094,grouping|aggregation|aggregation|aggregation|grouping,209.29
88,domain_specific,GSTR-7,1,1,1,0.5,2,1093|1052|1053|1058|1118,grouping|domain_specific|domain_specific|domain_specific|filtering,215.73
89,domain_specific,GSTR-7,1,1,1,1.0,1,1052|1058|1093|1075|1053,domain_specific|domain_specific|grouping|aggregation|domain_specific,224.48
90,domain_specific,GSTR-7,1,1,1,0.3333,3,1095|1104|1057|1080|1103,grouping|join|domain_specific|aggregation|join,220.18
91,aggregation,GSTR-7,1,1,0,1.0,1,1071|1139|1073|1091|1126,aggregation|having|aggregation|grouping|quirk,223.49
92,aggregation,GSTR-7,1,1,1,1.0,1,1076|1079|1096|1106|1057,aggregation|aggregation|grouping|join|domain_specific,213.07
93,aggregation,GSTR-7,1,1,1,1.0,1,1078|1091|1055|1054|1094,aggregation|grouping|domain_specific|domain_specific|grouping,216.82
94,join,GSTR-7,1,1,1,0.5,2,1032|1104|1095|1142|1105,ranking|join|grouping|grouping|join,217.08
95,join,GSTR-7,1,1,1,0.5,2,1094|1104|1095|1033|1103,grouping|join|grouping|ranking|join,235.14
96,grouping,GSTR-7,1,1,1,1.0,1,1095|1104|1142|1105|1093,grouping|join|grouping|join|grouping,254.16
97,ranking,GSTR-7,1,1,1,1.0,1,1033|1134|1095|1035|1104,ranking|subquery|grouping|ranking|join,217.96
98,grouping,GSTR-7,1,1,0,0.2,5,1139|1073|1117|1071|1091,having|aggregation|filtering|aggregation|grouping,221.07
99,domain_specific,GSTR-7,1,1,1,1.0,1,1053|1058|1057|1080|1052,domain_specific|domain_specific|domain_specific|aggregation|domain_specific,239.82
100,aggregation,GSTR-7,1,1,1,1.0,1,1079|1076|1096|1106|1080,aggregation|aggregation|grouping|join|aggregation,216.34
101,filtering,GSTR-7,1,1,1,1.0,1,1119|1117|1014|1006|1127,filtering|filtering|decode|decode|quirk,226.36
102,ranking,GSTR-7,1,1,1,1.0,1,1032|1034|1031|1095|1104,ranking|ranking|ranking|grouping|join,228.14
103,ranking,GSTR-7,1,1,1,0.25,4,1105|1104|1095|1033|1081,join|join|grouping|ranking|aggregation,209.33
104,join,GSTR-7,1,1,1,1.0,1,1107|1103|1104|1095|1142,join|join|join|grouping|grouping,251.22
105,domain_specific,GSTR-7,1,1,1,1.0,1,1054|1055|1097|1059|1051,domain_specific|domain_specific|grouping|domain_specific|domain_specific,230.71
106,domain_specific,GSTR-7,1,1,1,1.0,1,1056|1059|1054|1048|1047,domain_specific|domain_specific|domain_specific|domain_specific|domain_specific,245.61
107,join,GSTR-7,1,1,1,0.5,2,1096|1106|1077|1094|1079,grouping|join|aggregation|grouping|aggregation,212.87
108,ranking,GSTR-7,1,1,1,1.0,1,1033|1104|1035|1105|1095,ranking|join|ranking|join|grouping,228.73
109,join,GSTR-7,1,1,1,1.0,1,1104|1095|1142|1094|1105,join|grouping|grouping|grouping|join,221.25
110,having,GSTR-7,0,1,0,0.0,0,1105|1094|1095|1033|1081,join|grouping|grouping|ranking|aggregation,246.1
111,quirk,GSTR-7,1,1,1,1.0,1,1127|1091|1119|1055|1139,quirk|grouping|filtering|domain_specific|having,208.35
112,domain_specific,GSTR-7,1,1,1,1.0,1,1054|1055|1059|1051|1097,domain_specific|domain_specific|domain_specific|domain_specific|grouping,217.28
