id,category,module,n_gold,n_retrieved,recall,full_cover,decode_cov,gold_tables,missed
67,grouping,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
68,domain_specific,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
69,grouping,GSTR-3B,1,7,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
70,grouping,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
71,decode,GSTR-3B,2,7,1.0,1,1,common.mst_fy_years_t|live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
72,ranking,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
73,decode,GSTR-3B,2,6,0.5,0,0,common.mst_3bd_months_t|live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,common.mst_3bd_months_t
74,decode,GSTR-3B,2,6,0.5,0,0,common.mst_3bd_months_t|live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,common.mst_3bd_months_t
75,ranking,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
76,grouping,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
77,subquery,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
78,decode,GSTR-3B,2,6,0.5,0,0,common.mst_fy_years_t|live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,common.mst_fy_years_t
79,ranking,GSTR-3B,1,5,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
80,grouping,GSTR-3B,1,7,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
81,aggregation,GSTR-7,1,6,1.0,1,,public.tbl_gst_rtn_r7,
82,aggregation,GSTR-7,1,7,1.0,1,,public.tbl_gst_rtn_r7_tdsa,
83,domain_specific,GSTR-7,1,7,1.0,1,,public.tbl_gst_rtn_r7_tds,
84,aggregation,GSTR-7,1,6,1.0,1,,public.tbl_gst_rtn_r7,
85,aggregation,GSTR-7,1,7,1.0,1,,public.tbl_gst_rtn_r7_tds,
86,aggregation,GSTR-7,1,8,1.0,1,,public.tbl_gst_rtn_r7_tds,
87,aggregation,GSTR-7,1,8,1.0,1,,public.tbl_gst_rtn_r7_tds_inv,
88,domain_specific,GSTR-7,1,7,1.0,1,,public.tbl_gst_rtn_r7_tds,
89,domain_specific,GSTR-7,1,7,1.0,1,,public.tbl_gst_rtn_r7_tds,
90,domain_specific,GSTR-7,1,8,1.0,1,,public.tbl_gst_rtn_r7_tds,
91,aggregation,GSTR-7,1,6,1.0,1,,public.tbl_gst_rtn_r7,
92,aggregation,GSTR-7,1,8,1.0,1,,public.tbl_gst_rtn_r7_tds_inv,
93,aggregation,GSTR-7,1,6,1.0,1,,public.tbl_gst_rtn_r7_tax_pay,
94,join,GSTR-7,2,7,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
95,join,GSTR-7,2,7,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
96,grouping,GSTR-7,1,7,1.0,1,,public.tbl_gst_rtn_r7_tds,
97,ranking,GSTR-7,1,7,1.0,1,,public.tbl_gst_rtn_r7_tds,
98,grouping,GSTR-7,1,6,1.0,1,,public.tbl_gst_rtn_r7,
99,domain_specific,GSTR-7,1,8,1.0,1,,public.tbl_gst_rtn_r7_tds_inv,
100,aggregation,GSTR-7,1,8,1.0,1,,public.tbl_gst_rtn_r7_tds_inv,
101,filtering,GSTR-7,1,6,1.0,1,,public.tbl_gst_rtn_r7,
102,ranking,GSTR-7,1,6,1.0,1,,public.tbl_gst_rtn_r7_tds,
103,ranking,GSTR-7,2,7,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
104,join,GSTR-7,2,7,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
105,domain_specific,GSTR-7,1,6,1.0,1,,public.tbl_gst_rtn_r7_tax_pay,
106,domain_specific,GSTR-7,1,7,1.0,1,,public.tbl_gst_rtn_r7_tax_paid_pd_by_cash,
107,join,GSTR-7,3,7,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds|public.tbl_gst_rtn_r7_tds_inv,
108,ranking,GSTR-7,2,7,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
109,join,GSTR-7,2,7,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
110,having,GSTR-7,1,7,1.0,1,,public.tbl_gst_rtn_r7_tds,
111,quirk,GSTR-7,1,6,1.0,1,,public.tbl_gst_rtn_r7,
112,domain_specific,GSTR-7,1,6,1.0,1,,public.tbl_gst_rtn_r7_tax_pay,
