id,category,module,n_gold,n_retrieved,recall,full_cover,decode_cov,gold_tables,missed
26,ranking,EWB,1,16,1.0,1,,public.tbl_ewb_parta_ewb,
27,quirk,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
28,grouping,EWB,1,17,1.0,1,,public.tbl_ewb_parta_ewb,
29,aggregation,EWB,1,12,1.0,1,,public.tbl_ewb_partb_ewb_canceldet,
30,aggregation,EWB,1,13,1.0,1,,public.tbl_ewb_partb_ewb_rejdtl,
31,aggregation,EWB,1,12,1.0,1,,public.tbl_ewb_partb_ewb_partbdet,
32,grouping,EWB,1,15,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
33,ranking,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
34,grouping,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
35,join,EWB,2,13,1.0,1,,public.tbl_ewb_parta_ewb|public.tbl_ewb_parta_ewb_itemlist,
36,join,EWB,2,12,1.0,1,,public.tbl_ewb_partb_ewb|public.tbl_ewb_partb_ewb_extenddet,
37,grouping,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
38,ranking,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
39,join,EWB,1,16,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
40,filtering,EWB,1,14,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
41,subquery,EWB,1,14,1.0,1,,public.tbl_ewb_parta_ewb,
42,grouping,EWB,1,16,1.0,1,,public.tbl_ewb_parta_ewb,
43,aggregation,GSTR-3B,1,13,1.0,1,,public.tbl_gst_rtn_r3b,
44,aggregation,GSTR-3B,1,11,1.0,1,,public.tbl_gst_rtn_r3b,
45,domain_specific,GSTR-3B,4,16,1.0,1,1,common.mst_3bd_months_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_tx_pmt|public.tbl_gst_rtn_r3b_tx_pmt_pd_cash,
46,domain_specific,GSTR-3B,3,14,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
47,domain_specific,GSTR-3B,3,15,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
48,domain_specific,GSTR-3B,3,15,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
49,filtering,GSTR-3B,2,13,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
50,filtering,GSTR-3B,2,11,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
51,domain_specific,GSTR-3B,3,14,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_itc_elg|public.tbl_gst_rtn_r3b_itc_elg_itc_net,
52,domain_specific,GSTR-3B,3,16,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_isuprev,
53,filtering,GSTR-3B,2,12,1.0,1,1,common.mst_3bd_months_t|public.tbl_gst_rtn_r3b,
54,domain_specific,GSTR-3B,3,15,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_tx_pmt|public.tbl_gst_rtn_r3b_tx_pmt_pd_itc,
55,aggregation,GSTR-3B,3,13,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
56,quirk,GSTR-3B,3,14,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
57,aggregation,GSTR-3B,3,14,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_itc_elg|public.tbl_gst_rtn_r3b_itc_elg_itc_net,
58,domain_specific,GSTR-3B,3,15,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_tx_pmt|public.tbl_gst_rtn_r3b_tx_pmt_pd_cash,
59,ranking,GSTR-3B,4,14,1.0,1,1,common.mst_3bd_months_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
60,grouping,GSTR-3B,4,15,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_tx_pmt|public.tbl_gst_rtn_r3b_tx_pmt_pd_cash,
61,grouping,GSTR-3B,5,14,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
62,grouping,GSTR-3B,3,12,1.0,1,1,common.mst_3bd_months_t|common.mst_fy_years_t|public.tbl_gst_rtn_r3b,
63,aggregation,GSTR-3B,4,14,1.0,1,1,common.mst_3bd_months_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
64,ranking,GSTR-3B,3,12,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
65,domain_specific,GSTR-3B,3,14,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_itc_elg|public.tbl_gst_rtn_r3b_itc_elg_itc_net,
66,filtering,GSTR-3B,3,15,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_isuprev,
67,grouping,GSTR-3B,4,15,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
68,domain_specific,GSTR-3B,3,14,0.6667,0,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,public.tbl_gst_rtn_r3b_sup_details_osupdet
69,grouping,GSTR-3B,5,16,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_tx_pmt|public.tbl_gst_rtn_r3b_tx_pmt_pd_cash,
70,grouping,GSTR-3B,2,12,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
71,decode,GSTR-3B,5,16,1.0,1,1,common.mst_3bd_months_t|common.mst_fy_years_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_tx_pmt|public.tbl_gst_rtn_r3b_tx_pmt_pd_cash,
72,ranking,GSTR-3B,3,15,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
73,decode,GSTR-3B,4,13,1.0,1,1,common.mst_3bd_months_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
74,decode,GSTR-3B,4,13,1.0,1,1,common.mst_3bd_months_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
75,ranking,GSTR-3B,5,14,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_tx_pmt|public.tbl_gst_rtn_r3b_tx_pmt_pd_cash,
76,grouping,GSTR-3B,5,16,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
77,subquery,GSTR-3B,4,14,1.0,1,1,common.mst_3bd_months_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
78,decode,GSTR-3B,3,13,1.0,1,1,common.mst_3bd_months_t|common.mst_fy_years_t|public.tbl_gst_rtn_r3b,
79,ranking,GSTR-3B,4,15,0.5,0,1,common.mst_3bd_months_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet
80,grouping,GSTR-3B,5,15,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_isuprev,
81,aggregation,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7,
82,aggregation,GSTR-7,1,14,1.0,1,,public.tbl_gst_rtn_r7_tdsa,
83,domain_specific,GSTR-7,1,12,1.0,1,,public.tbl_gst_rtn_r7_tds,
84,aggregation,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7,
85,aggregation,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7_tds,
86,aggregation,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7_tds,
87,aggregation,GSTR-7,1,17,1.0,1,,public.tbl_gst_rtn_r7_tds_inv,
88,domain_specific,GSTR-7,1,14,1.0,1,,public.tbl_gst_rtn_r7_tds,
89,domain_specific,GSTR-7,1,12,1.0,1,,public.tbl_gst_rtn_r7_tds,
90,domain_specific,GSTR-7,1,12,1.0,1,,public.tbl_gst_rtn_r7_tds,
91,aggregation,GSTR-7,1,11,1.0,1,,public.tbl_gst_rtn_r7,
92,aggregation,GSTR-7,1,14,1.0,1,,public.tbl_gst_rtn_r7_tds_inv,
93,aggregation,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7_tax_pay,
94,join,GSTR-7,2,13,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
95,join,GSTR-7,2,11,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
96,grouping,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7_tds,
97,ranking,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7_tds,
98,grouping,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7,
99,domain_specific,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7_tds_inv,
100,aggregation,GSTR-7,1,14,1.0,1,,public.tbl_gst_rtn_r7_tds_inv,
101,filtering,GSTR-7,1,12,1.0,1,,public.tbl_gst_rtn_r7,
102,ranking,GSTR-7,1,12,1.0,1,,public.tbl_gst_rtn_r7_tds,
103,ranking,GSTR-7,2,12,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
104,join,GSTR-7,2,13,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
105,domain_specific,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7_tax_pay,
106,domain_specific,GSTR-7,1,16,1.0,1,,public.tbl_gst_rtn_r7_tax_paid_pd_by_cash,
107,join,GSTR-7,3,14,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds|public.tbl_gst_rtn_r7_tds_inv,
108,ranking,GSTR-7,2,12,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
109,join,GSTR-7,2,11,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
110,having,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7_tds,
111,quirk,GSTR-7,1,11,1.0,1,,public.tbl_gst_rtn_r7,
112,domain_specific,GSTR-7,1,13,1.0,1,,public.tbl_gst_rtn_r7_tax_pay,
113,aggregation,GSTREG,1,11,1.0,1,1,common.t_all_delers_api_v_t,
114,filtering,GSTREG,1,12,1.0,1,1,common.t_all_delers_api_v_t,
115,filtering,GSTREG,1,12,1.0,1,1,common.t_all_delers_api_v_t,
116,domain_specific,GSTREG,1,11,1.0,1,1,common.t_all_delers_api_v_t,
117,decode,GSTREG,2,12,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t,
118,decode,GSTREG,2,12,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t,
119,grouping,GSTREG,1,11,1.0,1,1,common.t_all_delers_api_v_t,
120,grouping,GSTREG,2,11,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t,
121,grouping,GSTREG,1,13,1.0,1,1,common.t_all_delers_api_v_t,
122,filtering,GSTREG,1,15,1.0,1,1,common.t_all_delers_api_v_t,
123,domain_specific,GSTREG,1,10,1.0,1,1,common.t_all_delers_api_v_t,
124,join,GSTREG,2,11,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
125,filtering,GSTREG,1,13,1.0,1,1,common.t_all_delers_api_v_t,
126,decode,GSTREG,2,15,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t,
127,subquery,GSTR-3B,1,10,1.0,1,,public.tbl_gst_rtn_r3b,
128,decode,GSTR-3B,5,11,1.0,1,1,common.mst_3bd_months_t|common.mst_fy_years_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
129,aggregation,GSTR-3B,1,16,1.0,1,,public.tbl_gst_rtn_r3b_tx_pmt_pd_cash,
130,domain_specific,GSTR-3B,3,13,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_tx_pmt|public.tbl_gst_rtn_r3b_tx_pmt_pd_cash,
131,subquery,GSTR-3B,4,14,0.25,0,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_tx_pmt|public.tbl_gst_rtn_r3b_tx_pmt_pd_cash|public.tbl_gst_rtn_r3b_tx_pmt_pd_itc,public.tbl_gst_rtn_r3b_tx_pmt|public.tbl_gst_rtn_r3b_tx_pmt_pd_cash|public.tbl_gst_rtn_r3b_tx_pmt_pd_itc
132,filtering,GSTR-3B,1,14,1.0,1,,public.tbl_gst_rtn_r3b_sup_details_isuprev,
133,subquery,GSTR-3B,3,15,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_isuprev,
134,decode,GSTR-3B,5,13,1.0,1,1,common.mst_3bd_months_t|common.mst_fy_years_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
135,having,GSTR-3B,1,11,1.0,1,,public.tbl_gst_rtn_r3b,
136,having,GSTR-3B,3,13,0.6667,0,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_itc_elg|public.tbl_gst_rtn_r3b_itc_elg_itc_net,public.tbl_gst_rtn_r3b_itc_elg_itc_net
137,domain_specific,GSTR-3B,1,16,1.0,1,,public.tbl_gst_rtn_r3b_itc_elg_itc_avl,
138,aggregation,GSTR-3B,3,14,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
139,grouping,GSTR-3B,3,15,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_inward_sup|public.tbl_gst_rtn_r3b_inward_sup_isup_details,
140,aggregation,GSTR-3B,1,15,1.0,1,,public.tbl_gst_rtn_r3b_inward_sup_isup_details,
141,domain_specific,GSTR-3B,1,16,1.0,1,,public.tbl_gst_rtn_r3b_itc_elg_itc_rev,
142,subquery,GSTR-3B,3,13,1.0,1,,public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
143,quirk,GSTR-3B,1,11,1.0,1,,public.tbl_gst_rtn_r3b,
144,join,GSTR-3B,2,13,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
145,domain_specific,GSTR-7,4,13,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tax_paid|public.tbl_gst_rtn_r7_tax_paid_pd_by_cash|public.tbl_gst_rtn_r7_tax_pay,
146,aggregation,GSTR-7,2,13,1.0,1,,public.tbl_gst_rtn_r7_tax_paid_pd_by_cash|public.tbl_gst_rtn_r7_tax_pay,
147,subquery,GSTR-7,2,11,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tax_paid,
148,filtering,GSTR-7,2,11,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tax_paid,
149,having,GSTR-7,2,11,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tds,
150,having,GSTR-7,1,11,1.0,1,,public.tbl_gst_rtn_r7_tds,
151,aggregation,GSTR-7,1,14,1.0,1,,public.tbl_gst_rtn_r7_tdsa,
152,domain_specific,GSTR-7,1,14,1.0,1,,public.tbl_gst_rtn_r7_tdsa,
153,ranking,GSTR-7,2,13,1.0,1,,public.tbl_gst_rtn_r7|public.tbl_gst_rtn_r7_tdsa,
154,aggregation,GSTR-7,1,15,1.0,1,,public.tbl_gst_rtn_r7_tdsa_inv,
155,join,GSTR-7,1,12,1.0,1,,public.tbl_gst_rtn_r7_tds,
156,quirk,GSTR-7,1,12,1.0,1,,public.tbl_gst_rtn_r7,
157,filtering,GSTREG,1,15,1.0,1,1,common.t_all_delers_api_v_t,
158,domain_specific,GSTREG,1,11,1.0,1,1,common.t_all_delers_api_v_t,
159,domain_specific,GSTREG,1,12,1.0,1,1,common.t_all_delers_api_v_t,
160,join,GSTREG,2,11,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
161,join,GSTREG,3,10,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_ewb_parta_ewb|public.tbl_gst_rtn_r3b,
162,grouping,GSTREG,3,11,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
163,ranking,GSTREG,5,13,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b|public.tbl_gst_rtn_r3b_sup_details|public.tbl_gst_rtn_r3b_sup_details_osupdet,
164,join,GSTREG,2,12,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_gst_rtn_r3b,
165,domain_specific,GSTREG,1,11,1.0,1,1,common.t_all_delers_api_v_t,
166,decode,GSTREG,2,11,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t,
167,having,GSTREG,2,11,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t,
168,ranking,GSTREG,2,10,1.0,1,1,common.mst_state_jurisdiction_code|common.t_all_delers_api_v_t,
169,join,GSTREG,2,12,1.0,1,1,common.t_all_delers_api_v_t|public.tbl_ewb_parta_ewb,
170,filtering,GSTREG,1,13,1.0,1,1,common.t_all_delers_api_v_t,
171,subquery,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
172,having,EWB,1,14,1.0,1,,public.tbl_ewb_parta_ewb,
